{'nb_hidden3': 110, 'nb_hidden2': 144, 'nb_hidden1': 31, 'mse': 0.041317821, 'learning_rate': 0.00012334729623967653, 'keep_value': 0.88983196936128484, 'reg_scale': 0.0026921023761391628, 'nb_hidden_layer': 2}
{'nb_hidden3': 300, 'nb_hidden2': 16, 'nb_hidden1': 479, 'mse': 0.057161644, 'learning_rate': 0.00040185801667399118, 'keep_value': 0.21635603173218854, 'reg_scale': 0.00019539349603593642, 'nb_hidden_layer': 1}
{'nb_hidden3': 435, 'nb_hidden2': 264, 'nb_hidden1': 410, 'mse': 436.89307, 'learning_rate': 0.3290814269118284, 'keep_value': 0.16534113326090272, 'reg_scale': 0.0016216178197289164, 'nb_hidden_layer': 3}
{'nb_hidden3': 464, 'nb_hidden2': 464, 'nb_hidden1': 494, 'mse': 273.6983, 'learning_rate': 0.55091027008186733, 'keep_value': 0.83457956561314828, 'reg_scale': 2.8779121079621812e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 87, 'nb_hidden2': 405, 'nb_hidden1': 162, 'mse': 0.16155615, 'learning_rate': 0.001578187090371389, 'keep_value': 0.91817875449369801, 'reg_scale': 2.4590759421592199, 'nb_hidden_layer': 2}
{'nb_hidden3': 93, 'nb_hidden2': 66, 'nb_hidden1': 29, 'mse': 3.1712463, 'learning_rate': 0.1439142523107666, 'keep_value': 0.56451253341457708, 'reg_scale': 0.00037495433086712763, 'nb_hidden_layer': 2}
{'nb_hidden3': 144, 'nb_hidden2': 328, 'nb_hidden1': 181, 'mse': 436.73663, 'learning_rate': 0.53673701344623848, 'keep_value': 0.27061833651086786, 'reg_scale': 0.049943781593934949, 'nb_hidden_layer': 1}
{'nb_hidden3': 452, 'nb_hidden2': 49, 'nb_hidden1': 260, 'mse': 12960.879, 'learning_rate': 8.3222064276600349, 'keep_value': 0.12930104854278024, 'reg_scale': 0.6827482424343666, 'nb_hidden_layer': 1}
{'nb_hidden3': 56, 'nb_hidden2': 473, 'nb_hidden1': 49, 'mse': 750217.38, 'learning_rate': 34.917361094445923, 'keep_value': 0.55058048555703598, 'reg_scale': 0.0046657264113254089, 'nb_hidden_layer': 3}
{'nb_hidden3': 334, 'nb_hidden2': 298, 'nb_hidden1': 450, 'mse': 14.720209, 'learning_rate': 0.12550565073563272, 'keep_value': 0.17427945737787875, 'reg_scale': 0.35626813171994143, 'nb_hidden_layer': 2}
{'nb_hidden3': 165, 'nb_hidden2': 353, 'nb_hidden1': 36, 'mse': 0.18423845, 'learning_rate': 0.00077552319208028947, 'keep_value': 0.66371251154283772, 'reg_scale': 0.00080278258812460591, 'nb_hidden_layer': 2}
{'nb_hidden3': 451, 'nb_hidden2': 112, 'nb_hidden1': 135, 'mse': 0.090642899, 'learning_rate': 4.5034772715076003e-05, 'keep_value': 0.24418511349765326, 'reg_scale': 8.7928305588547877e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 70, 'nb_hidden2': 398, 'nb_hidden1': 325, 'mse': 3.4286008, 'learning_rate': 0.1151058992140447, 'keep_value': 0.1675361726028668, 'reg_scale': 0.53484216919784355, 'nb_hidden_layer': 3}
{'nb_hidden3': 190, 'nb_hidden2': 431, 'nb_hidden1': 15, 'mse': 1.4095349, 'learning_rate': 0.18718692020411093, 'keep_value': 0.79726340819095676, 'reg_scale': 0.00026249336559469686, 'nb_hidden_layer': 2}
{'nb_hidden3': 16, 'nb_hidden2': 426, 'nb_hidden1': 278, 'mse': 0.041605663, 'learning_rate': 9.2334033018735438e-05, 'keep_value': 0.75322579579066684, 'reg_scale': 3.4363867972008926e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 152, 'nb_hidden2': 29, 'nb_hidden1': 114, 'mse': 1.2457881, 'learning_rate': 5.1195320121170926, 'keep_value': 0.61551528183807525, 'reg_scale': 0.00017888028670115801, 'nb_hidden_layer': 2}
{'nb_hidden3': 374, 'nb_hidden2': 181, 'nb_hidden1': 464, 'mse': 1.7707805e+08, 'learning_rate': 99.090834442426711, 'keep_value': 0.28038113663328812, 'reg_scale': 0.00029445037501582701, 'nb_hidden_layer': 1}
{'nb_hidden3': 171, 'nb_hidden2': 472, 'nb_hidden1': 176, 'mse': 0.041436799, 'learning_rate': 0.00029647591171428684, 'keep_value': 0.77960523995301123, 'reg_scale': 0.94029762214443036, 'nb_hidden_layer': 1}
{'nb_hidden3': 230, 'nb_hidden2': 280, 'nb_hidden1': 431, 'mse': 3.2976727, 'learning_rate': 0.11892292502931721, 'keep_value': 0.10042169036765625, 'reg_scale': 0.017080365756420655, 'nb_hidden_layer': 3}
