{'nb_hidden3': 92, 'nb_hidden2': 370, 'nb_hidden1': 187, 'mse': 65.443329, 'learning_rate': 0.00015933781664769761, 'keep_value': 0.1880833878885988, 'reg_scale': 1.5213266047369038, 'nb_hidden_layer': 2}
{'nb_hidden3': 312, 'nb_hidden2': 25, 'nb_hidden1': 462, 'mse': 102.74544, 'learning_rate': 0.04776299444078845, 'keep_value': 0.32757972724917561, 'reg_scale': 1.6367084612489624e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 329, 'nb_hidden2': 458, 'nb_hidden1': 448, 'mse': 22.417549, 'learning_rate': 2.9243953905255473e-05, 'keep_value': 0.99832509343661324, 'reg_scale': 0.0068214175492283778, 'nb_hidden_layer': 3}
{'nb_hidden3': 415, 'nb_hidden2': 296, 'nb_hidden1': 129, 'mse': 43.935711, 'learning_rate': 3.7384591934132718e-05, 'keep_value': 0.34941354594887897, 'reg_scale': 7.889943275674489e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 99, 'nb_hidden2': 434, 'nb_hidden1': 416, 'mse': 74.134331, 'learning_rate': 0.0045338146329346332, 'keep_value': 0.55056667358621258, 'reg_scale': 0.13468708569999363, 'nb_hidden_layer': 2}
{'nb_hidden3': 91, 'nb_hidden2': 278, 'nb_hidden1': 374, 'mse': 24142.262, 'learning_rate': 1.5482654432362455, 'keep_value': 0.63232751020357703, 'reg_scale': 0.0015239183262214203, 'nb_hidden_layer': 1}
{'nb_hidden3': 372, 'nb_hidden2': 461, 'nb_hidden1': 337, 'mse': 80.867035, 'learning_rate': 0.0064085254698143801, 'keep_value': 0.61697157119065571, 'reg_scale': 0.0021336924038375124, 'nb_hidden_layer': 1}
{'nb_hidden3': 206, 'nb_hidden2': 137, 'nb_hidden1': 461, 'mse': 44.092136, 'learning_rate': 1.3817229778903968e-05, 'keep_value': 0.57206629101147399, 'reg_scale': 1.6321990105099266e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 450, 'nb_hidden2': 477, 'nb_hidden1': 196, 'mse': 186.22737, 'learning_rate': 0.066684058290378448, 'keep_value': 0.0053444053852459428, 'reg_scale': 2.0348595933097562e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 409, 'nb_hidden2': 373, 'nb_hidden1': 21, 'mse': 39173.957, 'learning_rate': 8.4101147161036387, 'keep_value': 0.25485874409644127, 'reg_scale': 0.29150153320133487, 'nb_hidden_layer': 2}
