{'nb_hidden3': 330, 'nb_hidden2': 123, 'nb_hidden1': 211, 'mse': 4682877.5, 'learning_rate': 24.368578002695774, 'keep_value': 0.94937420747451917, 'reg_scale': 0.0012040037979697497, 'nb_hidden_layer': 3}
{'nb_hidden3': 107, 'nb_hidden2': 355, 'nb_hidden1': 306, 'mse': 1160.9468, 'learning_rate': 0.11845647600004089, 'keep_value': 0.43534986208820592, 'reg_scale': 0.72787592638861864, 'nb_hidden_layer': 2}
{'nb_hidden3': 260, 'nb_hidden2': 394, 'nb_hidden1': 274, 'mse': 815.10693, 'learning_rate': 0.00026629232813946764, 'keep_value': 0.038451703542925708, 'reg_scale': 2.3496799586092835e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 440, 'nb_hidden2': 72, 'nb_hidden1': 467, 'mse': 138651.59, 'learning_rate': 3.1761644743559452, 'keep_value': 0.056404995253141577, 'reg_scale': 3.9149083432350905e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 41, 'nb_hidden2': 109, 'nb_hidden1': 66, 'mse': 7668.5059, 'learning_rate': 27.026084570952804, 'keep_value': 0.38981170848864299, 'reg_scale': 1.6550855427545759, 'nb_hidden_layer': 3}
{'nb_hidden3': 182, 'nb_hidden2': 189, 'nb_hidden1': 242, 'mse': 36041.613, 'learning_rate': 38.605234828608481, 'keep_value': 0.10847299202242067, 'reg_scale': 5.2100444975005135e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 302, 'nb_hidden2': 320, 'nb_hidden1': 123, 'mse': 2113.5801, 'learning_rate': 2.1845455836763836, 'keep_value': 0.74546084533793966, 'reg_scale': 0.04818234881455298, 'nb_hidden_layer': 1}
{'nb_hidden3': 345, 'nb_hidden2': 476, 'nb_hidden1': 288, 'mse': 904.36615, 'learning_rate': 0.019466275224434122, 'keep_value': 0.66233350452935424, 'reg_scale': 0.00039526367216036196, 'nb_hidden_layer': 2}
{'nb_hidden3': 98, 'nb_hidden2': 183, 'nb_hidden1': 213, 'mse': 4641.3779, 'learning_rate': 5.3558111382865975e-05, 'keep_value': 0.057610585522909985, 'reg_scale': 0.16549689707390028, 'nb_hidden_layer': 1}
{'nb_hidden3': 96, 'nb_hidden2': 453, 'nb_hidden1': 220, 'mse': 2573.6621, 'learning_rate': 7.0812934025341471e-05, 'keep_value': 0.16976377984381319, 'reg_scale': 0.0029032934667920169, 'nb_hidden_layer': 3}
